"$10", "Hitchhiker", "Electronic", 2016, 183
"Havana", "Camila Cabello", "R&B", 2017, 324
"Cassidy", "Grateful Dead", "Rock", 1972, 123
"50 ways", "Paul Simon", "Soft Rock", 1975, 199
"Hurt", "Nine Inch Nails", "Industrial Rock", 1995, 257
"Silence", "Delerium", "Electronic", 1999, 134
"Hurt", "Johnny Cash", "Soft Rock", 2002, 392
"Watercolour", "Pendulum", "Electronic", 2010, 155
"The Outsider", "A Perfect Circle", "Alternative Rock", 2004, 312
"With a Little Help from My Friends", "The Beatles", "Rock", 1967, 168
"Come Together", "The Beatles", "Blues rock", 1968, 173
"Come Together", "Ike & Tina Turner", "Rock", 1970, 165
"With a Little Help from My Friends", "Joe Cocker", "Rock", 1968, 46
"Immigrant Song", "Karen O", "Industrial Rock", 2011, 12
"Breathe", "The Prodigy", "Electronic", 1996, 337
"What's Going On", "Gaye", "R&B", 1971, 420
"Hallucinate", "Dua Lipa", "Pop", 2020, 75
"Walk Me Home", "P!nk", "Pop", 2019, 459
"I am not a woman, I'm a god", "Halsey", "Alternative Rock", 2021, 384
"Pasos de cero", "Pablo Alborán", "Latin", 2014, 117
"Smooth", "Santana", "Latin", 1999, 244
"Immigrant song", "Led Zeppelin", "Rock", 1970, 484